idUsuario,nome,estado,telefone,dataNascimento,cidade,email,apelido,pais,foto,nivel,numeroAvaliacoes,IDTipoGeneroFK,IDFonteFK
128466,joyce,NULL,NULL,NULL,NULL,NULL,joyce,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
137062,joice,NULL,NULL,NULL,NULL,NULL,joice,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128647,tatiane,NULL,NULL,NULL,NULL,NULL,tatiane,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
186259,joão,NULL,NULL,NULL,NULL,NULL,joão,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
127929,viviane,NULL,NULL,NULL,NULL,NULL,viviane,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128060,gilmar,NULL,NULL,NULL,NULL,NULL,gilmar,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128025,márcia,NULL,NULL,NULL,NULL,NULL,márcia,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
136852,kelly,NULL,NULL,NULL,NULL,NULL,kelly,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
140024,fabiola,NULL,NULL,NULL,NULL,NULL,fabiola,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128517,camila,NULL,NULL,NULL,NULL,NULL,camila,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
140735,ingryd,NULL,NULL,NULL,NULL,NULL,ingryd,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
274541,alexana,NULL,NULL,NULL,NULL,NULL,alexana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
111740,rafael,NULL,NULL,NULL,NULL,NULL,rafael,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128586,wallace,NULL,NULL,NULL,NULL,NULL,wallace,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
186251,maria,NULL,NULL,NULL,NULL,NULL,maria,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
151085,carmen,NULL,NULL,NULL,NULL,NULL,carmen,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
275430,alcêdo,NULL,NULL,NULL,NULL,NULL,alcêdo,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128666,rafaela,NULL,NULL,NULL,NULL,NULL,rafaela,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128519,aline,NULL,NULL,NULL,NULL,NULL,aline,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
275441,se_sebastiana,NULL,NULL,NULL,NULL,NULL,se_sebastiana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,3
223889,bonsdegarfoblog,NULL,NULL,NULL,NULL,NULL,bonsdegarfoblog,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,3
275568,"Vitória Felix",NULL,NULL,NULL,NULL,NULL,"Vitória Felix",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,1,1,6
49803,"Danielle Melo",NULL,NULL,NULL,NULL,NULL,"Danielle Melo",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,31,3,6
112114,fernando,NULL,NULL,NULL,NULL,NULL,fernando,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
127944,ingrid,NULL,NULL,NULL,NULL,NULL,ingrid,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
111808,pedro,NULL,NULL,NULL,NULL,NULL,pedro,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128570,sandra,NULL,NULL,NULL,NULL,NULL,sandra,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
275579,mere,NULL,NULL,NULL,NULL,NULL,mere,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
147947,marianna,NULL,NULL,NULL,NULL,NULL,marianna,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128651,monica,NULL,NULL,NULL,NULL,NULL,monica,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
136199,danilo,NULL,NULL,NULL,NULL,NULL,danilo,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
127936,mayara,NULL,NULL,NULL,NULL,NULL,mayara,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
275583,isnar,NULL,NULL,NULL,NULL,NULL,isnar,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
144284,sonia,NULL,NULL,NULL,NULL,NULL,sonia,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128829,fabio,NULL,NULL,NULL,NULL,NULL,fabio,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
275712,"Ceça Soares",NULL,NULL,NULL,NULL,NULL,"Ceça Soares",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,2,3,6
66668,"Carlos Costa",NULL,NULL,NULL,NULL,NULL,"Carlos Costa",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,93,2,6
176766,"Milton Castro",NULL,NULL,NULL,NULL,NULL,"Milton Castro",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,139,3,6
275713,"elenildo martiniano de santana",NULL,NULL,NULL,NULL,NULL,"elenildo martiniano de santana",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,5,1,6
224755,tarciana,NULL,NULL,NULL,NULL,NULL,tarciana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128511,marcela,NULL,NULL,NULL,NULL,NULL,marcela,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128347,henrique,NULL,NULL,NULL,NULL,NULL,henrique,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
186242,paulo,NULL,NULL,NULL,NULL,NULL,paulo,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128583,patricia,NULL,NULL,NULL,NULL,NULL,patricia,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128021,ana,NULL,NULL,NULL,NULL,NULL,ana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128672,janaina,NULL,NULL,NULL,NULL,NULL,janaina,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
127990,eduardo,NULL,NULL,NULL,NULL,NULL,eduardo,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
136923,filipe,NULL,NULL,NULL,NULL,NULL,filipe,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
275726,natalia_valmeida,NULL,NULL,NULL,NULL,NULL,natalia_valmeida,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,3
275727,izabelaclm,NULL,NULL,NULL,NULL,NULL,izabelaclm,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,3
106173,"Everaldo Bezerra",NULL,NULL,NULL,NULL,NULL,"Everaldo Bezerra",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,32,1,6
275873,"Ana lucia maia",NULL,NULL,NULL,NULL,NULL,"Ana lucia maia",NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,29,1,6
179648,sueli,NULL,NULL,NULL,NULL,NULL,sueli,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128444,claudia,NULL,NULL,NULL,NULL,NULL,claudia,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128436,juliana,NULL,NULL,NULL,NULL,NULL,juliana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
140038,alana,NULL,NULL,NULL,NULL,NULL,alana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128004,bruno,NULL,NULL,NULL,NULL,NULL,bruno,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
127964,larissa,NULL,NULL,NULL,NULL,NULL,larissa,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
190202,joelson,NULL,NULL,NULL,NULL,NULL,joelson,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
179997,tarcisio,NULL,NULL,NULL,NULL,NULL,tarcisio,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
127950,caio,NULL,NULL,NULL,NULL,NULL,caio,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
128605,adriano,NULL,NULL,NULL,NULL,NULL,adriano,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
275884,rafa,NULL,NULL,NULL,NULL,NULL,rafa,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
194255,alcineide,NULL,NULL,NULL,NULL,NULL,alcineide,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128338,simone,NULL,NULL,NULL,NULL,NULL,simone,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
135503,isabel,NULL,NULL,NULL,NULL,NULL,isabel,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
275885,giancarlo,NULL,NULL,NULL,NULL,NULL,giancarlo,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
139798,daiane,NULL,NULL,NULL,NULL,NULL,daiane,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
136809,sarah,NULL,NULL,NULL,NULL,NULL,sarah,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
